948,993,120,826
446,677,530,715
178,183,659,13
753,75,29,61
909,171,475,837
475,285,935,835
556,829,1002,692
320,251,143,785
350,557,715,433
443,593,942,219
534,542,708,822
927,10,383,861
762,290,974,615
770,372,1004,485
534,670,201,385
400,989,75,28
696,601,169,826
3,996,990,141
245,244,59,10
191,804,735,468
842,772,993,683
189,108,170,426
138,666,751,223
95,96,89,339
966,657,902,112
712,722,949,666
941,45,714,142
229,733,867,357
248,553,294,476
857,853,645,624
200,209,402,958
489,904,560,321
811,113,476,706
63,664,1011,789
158,593,25,93
655,542,557,850
386,723,85,958
904,304,775,374
35,304,390,315
663,513,798,950
951,858,393,655
170,782,128,119
433,865,418,510
805,394,604,705
569,691,691,964
367,110,13,987
1003,462,792,433
113,870,102,994
495,173,215,943
857,826,291,186
858,25,701,307
772,154,796,907
539,612,1020,992
661,463,289,342
264,239,724,344
151,171,296,90
848,607,588,918
805,947,398,448
488,391,581,752
810,60,543,432
15,686,717,188
110,134,624,942
328,868,200,368
278,571,948,517
902,91,568,930
536,76,488,791
613,325,812,175
680,456,819,114
681,719,766,800
404,9,740,464
915,584,145,48
784,774,257,755
842,125,518,121
423,847,235,295
212,11,980,967
89,196,74,693
445,1019,319,672
924,185,66,473
318,379,486,332
221,785,374,84
48,1011,456,540
884,315,351,399
54,823,350,897
379,945,948,276
665,462,900,497
104,177,258,684
647,857,919,475
912,241,476,447
340,99,497,809
365,84,196,397
942,83,736,257
925,751,406,355
656,834,161,687
262,75,92,751
825,813,463,749
693,785,378,856
609,236,84,833
465,142,291,510
403,1001,987,961
554,512,899,242
782,502,61,639
463,951,90,660
419,188,511,163
600,743,848,588
728,996,620,584
192,564,12,525
998,556,841,869
241,1010,560,1009
831,89,644,215
689,835,839,624
676,235,577,976
512,141,854,346
286,59,209,933
808,116,599,940
972,308,870,516
311,439,796,831
925,149,579,617
1004,142,192,41
641,910,386,511
137,854,866,735
434,555,887,75
1015,561,10,798
76,785,969,962
165,690,977,525
987,343,333,855
581,605,734,728
175,587,231,594
902,283,181,67
741,247,30,515
25,346,815,229
110,61,459,696
264,557,128,315
851,473,544,674
66,445,425,231
16,749,483,598
301,124,378,859
99,294,257,913
817,530,377,503
409,0,434,834
176,957,966,804
99,450,19,264
759,222,48,176
898,317,576,756
1017,174,270,478
216,586,736,890
107,964,540,428
327,588,750,1023
1014,959,378,905
649,129,139,827
750,201,909,281
288,675,289,418
506,165,162,629
533,95,504,781
322,585,591,604
540,582,569,405
145,993,698,673
690,297,687,652
502,806,821,264
695,495,265,704
216,946,18,369
921,553,716,900
618,301,729,832
73,62,653,776
782,440,465,753
881,479,971,608
32,618,700,298
974,647,328,480
606,498,925,405
114,345,902,862
716,1008,483,735
641,989,144,38
228,549,283,264
349,887,86,499
161,741,394,847
712,742,493,852
872,978,709,127
169,465,90,1000
725,976,636,369
714,648,768,246
805,545,321,271
838,72,602,800
448,160,187,209
136,839,550,610
272,6,74,374
452,306,809,500
20,523,460,213
625,887,763,206
343,457,840,26
383,854,843,592
745,131,608,806
419,6,437,358
403,6,443,495
964,952,407,998
962,128,217,285
127,721,68,146
961,154,441,29
720,171,1023,694
293,198,720,962
371,687,918,2
833,667,522,381
982,762,572,733
266,709,127,704
541,941,631,242
104,836,571,904
682,712,79,351
191,359,325,947
95,681,270,19
292,920,782,878
585,218,751,629
781,63,159,729
99,327,1004,89
729,636,841,965
524,539,482,640
122,624,368,705
159,346,608,597
841,726,426,674
163,93,485,657
315,849,402,488
703,58,1004,958
940,904,241,397
409,228,91,982
829,957,656,676
1009,929,411,42
532,924,318,721
700,779,1017,756
746,169,667,965
371,934,171,121
982,969,411,122
757,199,744,714
357,342,482,878
994,294,1007,359
842,1011,675,615
855,304,294,291
673,645,149,214
926,126,766,755
633,768,424,217
143,745,414,804
465,45,284,77
685,308,961,660
584,624,311,860
851,68,312,202
739,874,298,108
490,116,833,497
116,695,162,1016
765,286,1008,900
910,838,4,813
976,282,976,273
50,255,552,968
917,391,782,686
753,611,263,742
906,294,602,417
337,601,1020,878
323,646,886,640
639,935,706,144
975,603,408,258
727,48,967,958
933,86,853,617
762,224,253,445
361,502,378,906
918,733,211,222
967,691,660,355
757,693,30,278
906,868,202,935
621,347,765,763
362,669,187,777
480,257,135,4
196,469,490,663
982,632,986,225
347,685,857,202
37,214,463,152
730,643,532,514
870,810,571,826
93,524,958,521
32,897,642,650
892,568,191,109
603,275,505,314
548,695,266,39
293,468,697,125
140,329,502,558
367,665,265,950
30,918,468,300
162,543,815,924
643,611,105,916
905,962,452,924
945,7,804,989
973,903,618,215
196,11,204,40
235,901,713,156
660,288,106,716
449,797,694,322
769,945,482,572
934,125,848,376
841,138,262,378
35,587,455,232
776,642,181,130
424,262,447,710
803,699,169,578
452,864,873,609
588,516,956,97
487,746,119,472
764,942,423,489
208,483,469,650
201,721,404,115
196,68,25,534
119,538,929,374
205,26,773,856
104,152,392,500
77,433,816,326
852,22,963,69
438,785,48,10
441,83,538,880
709,756,832,546
243,781,938,841
466,60,151,517
4,827,158,714
205,83,598,699
694,743,339,859
977,320,951,110
817,294,569,166
80,350,599,167
195,407,700,553
72,383,759,112
323,380,340,211
276,247,403,799
297,408,486,657
203,932,697,528
239,840,143,738
850,323,156,194
337,30,535,531
354,487,810,360
1,178,545,468
670,950,149,154
1013,569,524,375
182,744,41,743
734,352,285,681
124,644,495,137
856,466,297,495
307,902,584,863
624,477,192,333
808,549,614,61
218,375,62,82
190,571,920,248
109,227,592,322
446,848,189,122
720,1015,905,1008
228,312,524,727
172,742,395,136
42,919,17,986
36,128,534,344
846,52,1017,364
555,588,423,511
429,696,638,247
1017,609,133,81
69,1008,858,22
741,550,532,568
1014,827,356,460
722,377,535,99
128,424,187,466
699,257,693,843
209,960,334,70
457,804,511,342
133,753,910,915
492,580,773,838
342,116,1015,350
141,335,91,74
255,726,56,792
543,731,304,836
524,653,711,54
523,471,816,617
493,941,325,27
71,723,140,408
579,799,384,1022
824,425,337,864
181,233,810,110
606,705,189,658
386,864,717,685
763,804,289,14
336,502,41,51
590,2,619,9
813,617,655,746
176,485,757,545
333,669,9,486
991,275,751,858
955,961,873,15
923,474,882,476
949,1022,193,360
759,155,530,126
700,151,410,166
337,98,666,524
55,942,495,259
190,202,148,1
653,203,187,875
169,840,739,20
719,37,489,712
257,543,228,155
357,773,49,599
745,1001,892,319
147,112,605,671
1,521,616,306
856,670,700,13
563,931,42,810
474,491,518,557
133,960,231,33
475,638,237,548
194,812,951,874
218,423,56,942
964,72,99,145
721,362,126,892
296,807,749,498
563,894,336,409
622,339,700,142
513,1021,1001,904
819,97,928,868
764,570,584,660
878,51,260,799
525,27,127,1015
922,33,455,440
776,812,828,757
879,380,619,903
266,440,277,409
280,370,603,781
490,325,365,464
284,432,347,519
935,225,231,119
542,79,142,161
427,513,357,974
475,325,828,142
782,974,551,789
