2024-10-02 20:15:34.427898 ,133,2024-10-02 20:15:34.427898 ,244,2024-10-02 20:15:34.423899 ,130,2024-10-02 20:15:34.423899 ,154
2024-10-02 20:15:34.438898 ,95,2024-10-02 20:15:34.438898 ,495,2024-10-02 20:15:34.434897 ,376,2024-10-02 20:15:34.434897 ,171
2024-10-02 20:15:34.449899 ,545,2024-10-02 20:15:34.449899 ,126,2024-10-02 20:15:34.445898 ,71,2024-10-02 20:15:34.445898 ,979
2024-10-02 20:15:34.460899 ,324,2024-10-02 20:15:34.460899 ,355,2024-10-02 20:15:34.456901 ,135,2024-10-02 20:15:34.456901 ,658
2024-10-02 20:15:34.427898 ,133,2024-10-02 20:15:34.427898 ,244,2024-10-02 20:15:34.423899 ,130,2024-10-02 20:15:34.423899 ,154
2024-10-02 20:15:34.438898 ,95,2024-10-02 20:15:34.438898 ,495,2024-10-02 20:15:34.434897 ,376,2024-10-02 20:15:34.434897 ,171
2024-10-02 20:15:34.449899 ,545,2024-10-02 20:15:34.449899 ,126,2024-10-02 20:15:34.445898 ,71,2024-10-02 20:15:34.445898 ,979
2024-10-02 20:15:34.460899 ,324,2024-10-02 20:15:34.460899 ,355,2024-10-02 20:15:34.456901 ,135,2024-10-02 20:15:34.456901 ,658
2024-10-02 20:15:34.471630 ,368,2024-10-02 20:15:34.472502 ,771,2024-10-02 20:15:34.468639 ,869,2024-10-02 20:15:34.467901 ,364
2024-10-02 20:15:34.482166 ,373,2024-10-02 20:15:34.483157 ,763,2024-10-02 20:15:34.479496 ,226,2024-10-02 20:15:34.479496 ,231
2024-10-02 20:15:34.492794 ,769,2024-10-02 20:15:34.493797 ,83,2024-10-02 20:15:34.490806 ,533,2024-10-02 20:15:34.490157 ,132
2024-10-02 20:15:34.503796 ,320,2024-10-02 20:15:34.504795 ,637,2024-10-02 20:15:34.502796 ,235,2024-10-02 20:15:34.501798 ,636
2024-10-02 20:15:34.514392 ,182,2024-10-02 20:15:34.515380 ,542,2024-10-02 20:15:34.514392 ,874,2024-10-02 20:15:34.513794 ,457
2024-10-02 20:15:34.525099 ,106,2024-10-02 20:15:34.526189 ,776,2024-10-02 20:15:34.525622 ,621,2024-10-02 20:15:34.524382 ,373
2024-10-02 20:15:34.535704 ,926,2024-10-02 20:15:34.537711 ,860,2024-10-02 20:15:34.536694 ,543,2024-10-02 20:15:34.535136 ,387
2024-10-02 20:15:34.547239 ,970,2024-10-02 20:15:34.548233 ,804,2024-10-02 20:15:34.548233 ,522,2024-10-02 20:15:34.546704 ,406
2024-10-02 20:15:34.558576 ,850,2024-10-02 20:15:34.559089 ,219,2024-10-02 20:15:34.561082 ,685,2024-10-02 20:15:34.557232 ,221
2024-10-02 20:15:34.569082 ,58,2024-10-02 20:15:34.570083 ,643,2024-10-02 20:15:34.573083 ,1001,2024-10-02 20:15:34.568084 ,401
2024-10-02 20:15:34.579637 ,54,2024-10-02 20:15:34.580625 ,747,2024-10-02 20:15:34.584626 ,205,2024-10-02 20:15:34.579084 ,203
2024-10-02 20:15:34.590628 ,472,2024-10-02 20:15:34.591628 ,197,2024-10-02 20:15:34.596628 ,260,2024-10-02 20:15:34.590628 ,822
2024-10-02 20:15:34.601629 ,639,2024-10-02 20:15:34.602664 ,783,2024-10-02 20:15:34.608651 ,334,2024-10-02 20:15:34.601629 ,482
2024-10-02 20:15:34.612653 ,260,2024-10-02 20:15:34.613401 ,732,2024-10-02 20:15:34.620389 ,887,2024-10-02 20:15:34.612653 ,994
2024-10-02 20:15:34.623388 ,848,2024-10-02 20:15:34.624086 ,802,2024-10-02 20:15:34.632077 ,491,2024-10-02 20:15:34.623388 ,476
2024-10-02 20:15:34.634079 ,746,2024-10-02 20:15:34.634955 ,466,2024-10-02 20:15:34.643946 ,98,2024-10-02 20:15:34.634079 ,48
2024-10-02 20:15:34.645145 ,363,2024-10-02 20:15:34.645772 ,28,2024-10-02 20:15:34.655761 ,168,2024-10-02 20:15:34.645250 ,308
2024-10-02 20:15:34.655761 ,802,2024-10-02 20:15:34.656752 ,583,2024-10-02 20:15:34.666741 ,358,2024-10-02 20:15:34.655761 ,893
2024-10-02 20:15:34.666741 ,220,2024-10-02 20:15:34.667744 ,118,2024-10-02 20:15:34.678535 ,235,2024-10-02 20:15:34.666741 ,23
2024-10-02 20:15:34.677743 ,287,2024-10-02 20:15:34.678535 ,126,2024-10-02 20:15:34.689645 ,481,2024-10-02 20:15:34.677743 ,11
2024-10-02 20:15:34.688528 ,309,2024-10-02 20:15:34.689645 ,548,2024-10-02 20:15:34.701321 ,726,2024-10-02 20:15:34.688528 ,891
2024-10-02 20:15:34.699629 ,290,2024-10-02 20:15:34.700631 ,475,2024-10-02 20:15:34.713311 ,745,2024-10-02 20:15:34.699629 ,216
2024-10-02 20:15:34.710311 ,105,2024-10-02 20:15:34.711313 ,322,2024-10-02 20:15:34.725976 ,845,2024-10-02 20:15:34.710311 ,905
2024-10-02 20:15:34.721311 ,852,2024-10-02 20:15:34.721987 ,966,2024-10-02 20:15:34.737709 ,335,2024-10-02 20:15:34.721311 ,427
2024-10-02 20:15:34.731979 ,285,2024-10-02 20:15:34.732717 ,883,2024-10-02 20:15:34.749339 ,962,2024-10-02 20:15:34.731979 ,202
2024-10-02 20:15:34.742709 ,957,2024-10-02 20:15:34.743353 ,286,2024-10-02 20:15:34.760881 ,305,2024-10-02 20:15:34.742709 ,716
2024-10-02 20:15:34.753337 ,285,2024-10-02 20:15:34.753893 ,34,2024-10-02 20:15:34.772475 ,73,2024-10-02 20:15:34.753893 ,937
2024-10-02 20:15:34.763880 ,805,2024-10-02 20:15:34.764539 ,390,2024-10-02 20:15:34.783477 ,938,2024-10-02 20:15:34.764539 ,191
2024-10-02 20:15:34.774476 ,570,2024-10-02 20:15:34.775476 ,175,2024-10-02 20:15:34.795114 ,316,2024-10-02 20:15:34.775476 ,371
2024-10-02 20:15:34.785478 ,162,2024-10-02 20:15:34.786125 ,231,2024-10-02 20:15:34.806501 ,500,2024-10-02 20:15:34.786125 ,912
2024-10-02 20:15:34.795993 ,1002,2024-10-02 20:15:34.796510 ,804,2024-10-02 20:15:34.818119 ,436,2024-10-02 20:15:34.796510 ,1014
2024-10-02 20:15:34.806501 ,883,2024-10-02 20:15:34.807407 ,960,2024-10-02 20:15:34.829721 ,638,2024-10-02 20:15:34.807407 ,986
2024-10-02 20:15:34.817397 ,809,2024-10-02 20:15:34.818119 ,7,2024-10-02 20:15:34.841825 ,260,2024-10-02 20:15:34.818119 ,279
2024-10-02 20:15:34.828103 ,691,2024-10-02 20:15:34.828734 ,564,2024-10-02 20:15:34.853540 ,857,2024-10-02 20:15:34.828734 ,87
2024-10-02 20:15:34.838720 ,436,2024-10-02 20:15:34.839311 ,363,2024-10-02 20:15:34.865226 ,51,2024-10-02 20:15:34.839832 ,220
2024-10-02 20:15:34.849826 ,716,2024-10-02 20:15:34.849826 ,941,2024-10-02 20:15:34.876908 ,58,2024-10-02 20:15:34.850551 ,343
2024-10-02 20:15:34.860541 ,28,2024-10-02 20:15:34.860541 ,935,2024-10-02 20:15:34.888632 ,175,2024-10-02 20:15:34.861237 ,719
2024-10-02 20:15:34.871227 ,917,2024-10-02 20:15:34.871227 ,178,2024-10-02 20:15:34.900180 ,842,2024-10-02 20:15:34.871922 ,219
2024-10-02 20:15:34.881914 ,545,2024-10-02 20:15:34.881914 ,187,2024-10-02 20:15:34.911896 ,803,2024-10-02 20:15:34.882640 ,72
2024-10-02 20:15:34.892634 ,395,2024-10-02 20:15:34.892634 ,225,2024-10-02 20:15:34.923012 ,375,2024-10-02 20:15:34.893197 ,755
2024-10-02 20:15:34.903181 ,158,2024-10-02 20:15:34.903966 ,524,2024-10-02 20:15:34.935037 ,902,2024-10-02 20:15:34.903966 ,858
2024-10-02 20:15:34.913897 ,745,2024-10-02 20:15:34.914496 ,886,2024-10-02 20:15:34.946485 ,482,2024-10-02 20:15:34.915019 ,577
2024-10-02 20:15:34.924528 ,47,2024-10-02 20:15:34.925047 ,478,2024-10-02 20:15:34.957710 ,7,2024-10-02 20:15:34.926038 ,199
2024-10-02 20:15:34.935037 ,834,2024-10-02 20:15:34.935906 ,936,2024-10-02 20:15:34.969221 ,119,2024-10-02 20:15:34.936898 ,817
2024-10-02 20:15:34.945896 ,604,2024-10-02 20:15:34.946485 ,193,2024-10-02 20:15:34.980746 ,111,2024-10-02 20:15:34.947477 ,996
2024-10-02 20:15:34.956483 ,34,2024-10-02 20:15:34.957710 ,265,2024-10-02 20:15:34.993076 ,619,2024-10-02 20:15:34.958229 ,736
2024-10-02 20:15:34.967220 ,960,2024-10-02 20:15:34.968221 ,506,2024-10-02 20:15:35.004064 ,904,2024-10-02 20:15:34.969221 ,380
2024-10-02 20:15:34.978237 ,144,2024-10-02 20:15:34.978763 ,59,2024-10-02 20:15:35.015546 ,904,2024-10-02 20:15:34.980746 ,736
2024-10-02 20:15:34.988746 ,450,2024-10-02 20:15:34.990158 ,212,2024-10-02 20:15:35.027150 ,731,2024-10-02 20:15:34.992145 ,919
2024-10-02 20:15:35.000065 ,705,2024-10-02 20:15:35.001065 ,533,2024-10-02 20:15:35.038394 ,304,2024-10-02 20:15:35.003064 ,963
2024-10-02 20:15:35.011064 ,573,2024-10-02 20:15:35.012617 ,70,2024-10-02 20:15:35.049828 ,123,2024-10-02 20:15:35.013545 ,62
2024-10-02 20:15:35.021543 ,301,2024-10-02 20:15:35.023545 ,760,2024-10-02 20:15:35.061117 ,338,2024-10-02 20:15:35.024159 ,897
2024-10-02 20:15:35.032153 ,762,2024-10-02 20:15:35.034151 ,988,2024-10-02 20:15:35.072752 ,266,2024-10-02 20:15:35.035411 ,613
2024-10-02 20:15:35.043397 ,293,2024-10-02 20:15:35.045397 ,690,2024-10-02 20:15:35.084275 ,491,2024-10-02 20:15:35.046837 ,893
2024-10-02 20:15:35.054828 ,636,2024-10-02 20:15:35.056128 ,1020,2024-10-02 20:15:35.095875 ,443,2024-10-02 20:15:35.058118 ,861
2024-10-02 20:15:35.066116 ,845,2024-10-02 20:15:35.066764 ,276,2024-10-02 20:15:35.106723 ,896,2024-10-02 20:15:35.069753 ,384
2024-10-02 20:15:35.076753 ,115,2024-10-02 20:15:35.077287 ,923,2024-10-02 20:15:35.118459 ,829,2024-10-02 20:15:35.080275 ,951
